Wet Red Mud Discharge   ;Water removed through evaporation   ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Pure Al(OH)3 (dry, precipitated)    ;Alumunium Recovery Rate (From Feed) ;Alumunium in Recycled Spent Liquor  ;Total CaO consumed  ;Total NaOH Consumed 
71.13563662;91.04299714;64.5166361;82.54900043;88.45%;9.225044242;6.609476782;45.37727038
72.07582244;80.7206207;76.11380707;82.59303083;85.02%;9.685711739;9.501459522;46.64100936
54.40039567;81.93787219;52.60962904;85.86574366;94.21%;8.201274949;3.242633568;45.63680498
74.23196615;92.25591873;66.31732245;79.24102326;84.28%;9.474823399;7.444903455;44.03369572
69.49148021;87.84735133;69.4734934;93.34552423;89.92%;12.45617421;6.587663635;50.94468746
38.92335949;64.23822565;54.27114654;98.62705275;96.33%;10.57989026;2.162249125;51.75724927
61.00141404;86.99478428;59.83844196;95.7962293;93.34%;11.61490423;3.888142065;51.04525979
57.54284508;70.62172005;75.0519671;105.0198144;91.01%;9.255928354;6.643260939;56.95879963
91.33276187;101.7747619;81.05963614;83.42937645;83.69%;7.940982412;10.66114501;47.55770651
57.46735637;78.63670054;60.06368352;86.18679816;91.22%;7.771541046;5.075725577;46.58443285
53.76313567;81.95513527;53.08369463;89.51804873;94.80%;9.348304494;2.915856728;47.38373803
80.28259089;94.82457819;78.40898315;97.60872177;87.18%;10.42661188;8.352548459;53.88280825
71.28094756;82.37185809;75.55262086;88.61350417;85.37%;11.91349628;8.665269118;49.39526878
67.70047196;82.87683819;75.550399;102.8426807;89.86%;9.765462827;7.020283766;56.00259021
70.98637688;79.3331078;74.6869995;78.8171548;82.11%;9.878316135;9.59542857;44.7387557
